id,filename,subject_id,lengthfile
109,20231128_shimatani-failure-set3,27,20231128_shimatani-failure-set3_length.csv
110,20231128_tsuzi-RIR3MAX-set3,24,20231128_tsuzi-RIR3MAX-set3_length.csv
111,20231128_tsuzi_RIR3MAX_set1,24,20231128_tsuzi_RIR3MAX_set1_length.csv
112,20231128_tsuzi_RIR3MAX_set2,24,20231128_tsuzi_RIR3MAX_set2_length.csv
113,deguchi_70per_1,1,deguchi_70per_1_length.csv
114,deguchi_70per_2,1,deguchi_70per_2_length.csv
115,deguchi_70per_3,1,deguchi_70per_3_length.csv
116,fukuman_70per_1,8,fukuman_70per_1_length.csv
117,fukuman_70per_2,8,fukuman_70per_2_length.csv
118,fukuman_70per_3,8,fukuman_70per_3_length.csv
119,hamada_40per_1,12,hamada_40per_1_length.csv
120,hamada_40per_2,12,hamada_40per_2_length.csv
121,hamada_40per_3,12,hamada_40per_3_length.csv
122,hamada_70per_1,2,hamada_70per_1_length.csv
123,hamada_70per_2,2,hamada_70per_2_length.csv
124,hamada_70per_3,2,hamada_70per_3_length.csv
125,honma_40per_1,11,honma_40per_1_length.csv
126,honma_40per_2,11,honma_40per_2_length.csv
127,honma_40per_3,11,honma_40per_3_length.csv
128,honma_40per_4,11,honma_40per_4_length.csv
129,honma_70per_1,3,honma_70per_1_length.csv
130,honma_70per_2,3,honma_70per_2_length.csv
131,honma_70per_3,3,honma_70per_3_length.csv
132,kikuchi_70per_1,4,kikuchi_70per_1_length.csv
133,kikuchi_70per_2,4,kikuchi_70per_2_length.csv
134,kikuchi_70per_3,4,kikuchi_70per_3_length.csv
135,motizuki_70per_1,5,motizuki_70per_1_length.csv
136,motizuki_70per_2,5,motizuki_70per_2_length.csv
137,motizuki_70per_3,5,motizuki_70per_3_length.csv
138,saito_aota_70per_1,7,saito_aota_70per_1_length.csv
139,saito_aota_70per_2,7,saito_aota_70per_2_length.csv
140,saito_aota_70per_3,7,saito_aota_70per_3_length.csv
141,saito_mika_70per_1,6,saito_mika_70per_1_length.csv
142,saito_mika_70per_2,6,saito_mika_70per_2_length.csv
143,saito_mika_70per_3,6,saito_mika_70per_3_length.csv
144,tobita_70per_1,9,tobita_70per_1_length.csv
145,tobita_70per_2,9,tobita_70per_2_length.csv
146,tobita_70per_3,9,tobita_70per_3_length.csv
147,toi_70per_1,10,toi_70per_1_length.csv
148,toi_70per_2,10,toi_70per_2_length.csv
149,toi_70per_3,10,toi_70per_3_length.csv
