,mse,mae
0,6.05572040512925e-06,0.0024608373641967773
1,0.00942624919116497,0.09708887338638306
2,0.2875976264476776,0.5362812876701355
3,0.18098275363445282,0.4254206717014313
4,0.0020320189651101828,0.04507791996002197
5,0.1480037271976471,0.3847125172615051
6,0.002970246598124504,0.05449996888637543
7,0.0011483882553875446,0.03388787806034088
8,0.029469367116689682,0.1716664433479309
9,0.0029908758588135242,0.05468890070915222
10,0.09384012967348099,0.30633336305618286
11,0.020883847028017044,0.14451244473457336
12,0.04824607074260712,0.21964988112449646
13,0.08284489065408707,0.28782787919044495
14,0.05832531303167343,0.24150633811950684
15,0.02732773870229721,0.1653110384941101
16,0.03951482102274895,0.19878335297107697
17,0.031519271433353424,0.17753668129444122
18,0.03311577066779137,0.18197739124298096
19,0.014990720897912979,0.12243659794330597
20,0.06437116861343384,0.25371474027633667
21,0.0007290850044228137,0.027001574635505676
22,0.18654818832874298,0.43191224336624146
23,0.014484144747257233,0.12035009264945984
24,0.054046500474214554,0.2324790358543396
25,0.0011237991275265813,0.033523112535476685
26,0.006199715659022331,0.078738272190094
27,0.006727138534188271,0.0820191353559494
28,0.0191284641623497,0.1383056938648224
29,0.0020554091315716505,0.04533661901950836
