,1st_set
0,0.30991649627685547
1,0.32424670457839966
2,0.34452930092811584
3,0.654028594493866
4,0.31030333042144775
5,0.4021764397621155
6,0.12196728587150574
7,0.22183185815811157
8,0.13439303636550903
9,0.21742115914821625
10,0.09101642668247223
11,0.29241111874580383
12,0.3865773677825928
13,0.16055530309677124
14,0.217718243598938
15,0.4138002395629883
16,0.3872409760951996
17,0.20360319316387177
18,0.2705230116844177
19,0.03177373483777046
20,0.18264617025852203
21,0.2572290599346161
22,0.8246429562568665
23,0.1872921735048294
24,0.33492282032966614
25,0.14435867965221405
26,0.18659868836402893
27,0.12426865845918655
28,0.28661778569221497
29,0.37153616547584534
