,lac
0,0.125
1,0.38942307692307687
2,0.3413461538461538
3,0.20192307692307693
4,0.44230769230769224
5,0.5336538461538461
6,0.16346153846153846
7,0.41346153846153844
8,0.2932692307692307
9,0.009615384615384616
10,0.004807692307692308
11,0.2692307692307692
