,1st_set
0,0.3825933039188385
1,0.44136765599250793
2,0.2940702438354492
3,0.5372598767280579
4,0.32738569378852844
5,0.4122544527053833
6,0.14334635436534882
7,0.21460984647274017
8,0.27003175020217896
9,0.11361122876405716
10,0.10164947062730789
11,0.24920101463794708
12,0.3590866029262543
13,0.11887788027524948
14,0.16987408697605133
15,0.3601441979408264
16,0.3056686818599701
17,0.16325360536575317
18,0.2724372446537018
19,0.17030689120292664
20,0.117327481508255
21,0.228499636054039
22,0.7322360873222351
23,0.2953276038169861
24,0.32657042145729065
25,0.08196768164634705
26,0.20721225440502167
27,0.12108717858791351
28,0.24853096902370453
29,0.2255736142396927
