,1st_set
0,0.33393317461013794
1,0.3394399583339691
2,0.3575149476528168
3,0.5430576205253601
4,0.2490454763174057
5,0.2860034704208374
6,0.21122242510318756
7,0.3010747730731964
8,0.1973499059677124
9,0.26036790013313293
10,0.10889006406068802
11,0.37563952803611755
12,0.3672087490558624
13,0.13440877199172974
14,0.20310720801353455
15,0.3756570518016815
16,0.2857006788253784
17,0.2521991729736328
18,0.3028036653995514
19,0.06761631369590759
20,0.16041089594364166
21,0.15980497002601624
22,0.7527725696563721
23,0.4437428414821625
24,0.3542558550834656
25,0.10974439978599548
26,0.06024637818336487
27,0.10197477042675018
28,0.20698508620262146
29,0.2694505453109741
