,1st_set
0,0.2551097273826599
1,0.5648461580276489
2,0.4890851676464081
3,0.3772468566894531
4,0.19305601716041565
5,0.2234635353088379
6,0.2456369549036026
7,0.42660221457481384
8,0.1617574244737625
9,0.20180383324623108
10,0.28455042839050293
11,0.2672116756439209
12,0.368888258934021
13,0.1652105450630188
14,0.3979891538619995
15,0.3317131996154785
16,0.40900880098342896
17,0.3934061527252197
18,0.23733285069465637
19,0.23938855528831482
20,0.25460800528526306
21,0.16044454276561737
22,0.9936184883117676
23,0.23233471810817719
24,0.322460800409317
25,0.11753752082586288
26,0.16019093990325928
27,0.14645719528198242
28,0.19332143664360046
29,0.11328040063381195
30,0.13713669776916504
31,0.10074247419834137
32,0.15984922647476196
33,0.11263856291770935
34,0.12222126126289368
35,0.07088090479373932
36,0.2519735097885132
37,0.054059963673353195
38,0.441895067691803
39,0.3555154502391815
40,0.19414204359054565
41,0.22640986740589142
42,0.188470259308815
43,0.3440200388431549
44,0.2061585783958435
45,0.3194209039211273
46,0.37941956520080566
47,0.2312886118888855
48,0.2925928831100464
49,0.575427234172821
50,0.5167347192764282
51,0.3278017044067383
52,0.1915779709815979
53,0.3153251111507416
54,0.22609378397464752
55,0.36283037066459656
56,0.5885388851165771
57,0.11873622238636017
58,0.2071111798286438
59,0.3128105103969574
60,0.22991888225078583
61,0.24981354176998138
62,0.1783044934272766
63,0.1532931625843048
64,0.13055473566055298
65,0.19470521807670593
66,0.16512256860733032
67,0.32206976413726807
68,0.11721335351467133
69,0.08549828082323074
70,0.4365772604942322
71,0.33017563819885254
72,0.1582784205675125
73,0.279967725276947
74,0.3191940486431122
75,0.24987788498401642
76,0.061119064688682556
77,0.38940489292144775
78,0.14694231748580933
79,0.16232869029045105
80,0.028249260038137436
81,0.1257910430431366
82,0.14619964361190796
83,0.1119171530008316
84,0.19976791739463806
85,0.291655570268631
86,0.23076459765434265
87,0.015810053795576096
88,0.25477054715156555
89,0.13172632455825806
90,0.13457688689231873
91,0.19895651936531067
92,0.05747903510928154
93,0.7828959226608276
94,0.27780798077583313
95,0.17373690009117126
96,0.45179495215415955
97,0.19677972793579102
98,0.3458448052406311
99,0.1081971824169159
100,0.17507721483707428
101,0.19888296723365784
