,1st_set
0,0.258016437292099
1,0.5070642828941345
2,0.37938207387924194
3,0.25597691535949707
4,0.20544220507144928
5,0.2579312026500702
6,0.25314998626708984
7,0.3984362781047821
8,0.22273455560207367
9,0.23740020394325256
10,0.14907921850681305
11,0.31766217947006226
12,0.4130890369415283
13,0.2046065330505371
14,0.3812507688999176
15,0.35253840684890747
16,0.42878445982933044
17,0.4309849441051483
18,0.2598865330219269
19,0.19815243780612946
20,0.283988356590271
21,0.15421031415462494
22,0.9645373225212097
23,0.20287388563156128
24,0.2893494665622711
25,0.09817889332771301
26,0.17889663577079773
27,0.15661479532718658
28,0.2258566915988922
29,0.1889365166425705
30,0.13847193121910095
31,0.12397369742393494
32,0.20640958845615387
33,0.10193081200122833
34,0.10747838765382767
35,0.07075946778059006
36,0.24153947830200195
37,0.10129040479660034
38,0.36961379647254944
39,0.2854577600955963
40,0.23047205805778503
41,0.23244304955005646
42,0.20066742599010468
43,0.3573314845561981
44,0.18386515974998474
45,0.31529712677001953
46,0.405379056930542
47,0.28184041380882263
48,0.3036256432533264
49,0.5957424640655518
50,0.5329915285110474
51,0.3766084611415863
52,0.27303755283355713
53,0.3445947766304016
54,0.22780290246009827
55,0.26755204796791077
56,0.5606212019920349
57,0.1635654717683792
58,0.2126779556274414
59,0.2850631773471832
60,0.2071331888437271
61,0.2619192898273468
62,0.1595810353755951
63,0.10624197125434875
64,0.12082365155220032
65,0.1924302875995636
66,0.15424180030822754
67,0.3049681484699249
68,0.1668727546930313
69,0.12174427509307861
70,0.5108939409255981
71,0.33530738949775696
72,0.1401701420545578
73,0.3351372182369232
74,0.34658998250961304
75,0.29998669028282166
76,0.13369089365005493
77,0.3870818614959717
78,0.09948863834142685
79,0.13852453231811523
80,0.054876089096069336
81,0.078163281083107
82,0.15467728674411774
83,0.11371311545372009
84,0.21022862195968628
85,0.34555673599243164
86,0.23971155285835266
87,0.010492609813809395
88,0.16353453695774078
89,0.1274234801530838
90,0.1280032843351364
91,0.24072596430778503
92,0.04289603978395462
93,0.6909036040306091
94,0.25296950340270996
95,0.1451023519039154
96,0.5136545300483704
97,0.20365139842033386
98,0.34304776787757874
99,0.2011784315109253
100,0.25629860162734985
101,0.15550291538238525
