,1st_set
0,0.2933155596256256
1,0.26739394664764404
2,0.40482741594314575
3,0.6032271981239319
4,0.22559134662151337
5,0.2104046493768692
6,0.10215732455253601
7,0.25803881883621216
8,0.2725900709629059
9,0.21289587020874023
10,0.13704605400562286
11,0.24745985865592957
12,0.36193349957466125
13,0.1570337414741516
14,0.20246648788452148
15,0.36335238814353943
16,0.2794414460659027
17,0.19740355014801025
18,0.30555424094200134
19,0.19158799946308136
20,0.1454794555902481
21,0.2281014323234558
22,0.7082621455192566
23,0.4416021704673767
24,0.3000572919845581
25,0.10671618580818176
26,0.3059700131416321
27,0.07491151243448257
28,0.31477779150009155
29,0.28271931409835815
