,1st_set
0,0.35372480750083923
1,0.365033894777298
2,0.30224302411079407
3,0.6908880472183228
4,0.2913769781589508
5,0.2669193744659424
6,0.14890936017036438
7,0.24575693905353546
8,0.3594551086425781
9,0.26772773265838623
10,0.09442374110221863
11,0.2597638964653015
12,0.3985671103000641
13,0.13973848521709442
14,0.254978746175766
15,0.36708393692970276
16,0.27185672521591187
17,0.18096844851970673
18,0.30402320623397827
19,0.10295988619327545
20,0.19093425571918488
21,0.25766369700431824
22,0.6855791807174683
23,0.4517207443714142
24,0.2861584722995758
25,0.08801665902137756
26,0.23008282482624054
27,0.08179120719432831
28,0.24545927345752716
29,0.23575721681118011
