,1st_set,2nd_set,3rd_set
0,[0.05092196],[0.05781591],[0.05450006]
1,[0.21237388],[0.241477],[0.37901014]
2,[0.50715053],[0.19799258],[0.30205974]
3,[0.19518156],[0.32200426],[0.36488977]
4,[0.20209025],[0.47010437],[0.21657115]
5,[0.1330332],[0.09928899],[0.08781526]
6,[0.23067012],[0.41070056],[0.42962453]
7,[0.2846448],[0.34579697],[0.2020252]
