,1st_set
0,0.3975311517715454
1,0.1978864073753357
2,0.3353341519832611
3,0.519645631313324
4,0.28900212049484253
5,0.48150691390037537
6,0.07994691282510757
7,0.33497440814971924
8,0.17216959595680237
9,0.28881964087486267
10,0.1200324296951294
11,0.29491594433784485
12,0.36625030636787415
13,0.13372741639614105
14,0.155477374792099
15,0.3813543915748596
16,0.38368135690689087
17,0.023072166368365288
18,0.23815125226974487
19,0.13965488970279694
20,0.18670497834682465
21,0.12298989295959473
22,0.7347538471221924
23,0.3363146483898163
24,0.28604769706726074
25,0.12509463727474213
26,0.11877983808517456
27,0.09229391068220139
28,0.24914826452732086
29,0.32590416073799133
