,mse,mae
0,0.0014757293974980712,0.038415223360061646
1,0.1607009768486023,0.4008752703666687
2,0.3542304039001465,0.5951725840568542
3,0.21959702670574188,0.46861180663108826
4,0.009316891431808472,0.09652404487133026
5,0.08667317032814026,0.294403076171875
6,0.0005217878497205675,0.02284267544746399
7,0.0007436303421854973,0.02726958692073822
8,0.006918770261108875,0.08317914605140686
9,0.0064598750323057175,0.08037334680557251
10,0.07377080619335175,0.27160781621932983
11,0.07917824387550354,0.28138628602027893
12,0.03939111903309822,0.19847196340560913
13,0.06331267952919006,0.2516201138496399
14,0.055240750312805176,0.23503351211547852
15,0.018876247107982635,0.1373908519744873
16,0.005286842584609985,0.07271067798137665
17,0.044626690447330475,0.21125030517578125
18,0.032599832862615585,0.18055424094200134
19,0.008476121351122856,0.09206585586071014
20,0.059508487582206726,0.24394361674785614
21,0.0035798922181129456,0.05983220040798187
22,0.1346273571252823,0.3669160008430481
23,0.005302883684635162,0.07282090187072754
24,0.03590280935168266,0.18948036432266235
25,0.003788777394220233,0.061553046107292175
26,0.0031326424796134233,0.05597001314163208
27,0.001001233933493495,0.031642280519008636
28,0.04992170259356499,0.22343164682388306
29,0.02193477191030979,0.14810392260551453
