,1st_set
0,0.3175305128097534
1,0.4125797152519226
2,0.376101016998291
3,0.626272439956665
4,0.36950674653053284
5,0.4128624498844147
6,0.08323745429515839
7,0.3496204912662506
8,0.186367005109787
9,0.08890106528997421
10,0.11019542813301086
11,0.26369383931159973
12,0.33200088143348694
13,0.14517638087272644
14,0.17636513710021973
15,0.38702312111854553
16,0.3336293697357178
17,0.24318310618400574
18,0.26364657282829285
19,0.14611950516700745
20,0.14569200575351715
21,0.10248338431119919
22,0.7293432354927063
23,0.2552000880241394
24,0.30494385957717896
25,0.1649225354194641
26,0.10442857444286346
27,0.09738452732563019
28,0.11323131620883942
29,0.3099876344203949
