,mse,mae
0,0.1020897701382637,0.3195149004459381
1,0.03308827057480812,0.18190181255340576
2,0.11814914643764496,0.34372830390930176
3,0.09508462995290756,0.30835795402526855
4,0.10613379627466202,0.32578182220458984
5,0.15586893260478973,0.39480239152908325
6,0.45619112253189087,0.6754192113876343
7,0.0005632958491332829,0.023733854293823242
8,0.05995560064911842,0.24485832452774048
9,0.0071415104903280735,0.08450745791196823
10,0.03397795185446739,0.18433108925819397
11,0.3150167167186737,0.5612635016441345
12,0.09143970161676407,0.3023899793624878
13,0.17361852526664734,0.4166755676269531
14,0.0749417245388031,0.27375486493110657
15,0.013792929239571095,0.11744330078363419
16,0.08854939043521881,0.2975724935531616
17,0.08999036997556686,0.299983948469162
18,0.02868185006082058,0.16935716569423676
19,0.09946995973587036,0.31538859009742737
20,0.0042437296360731125,0.06514391303062439
21,0.18083231151103973,0.4252438247203827
22,0.532085120677948,0.7294416427612305
23,0.019572000950574875,0.13989996910095215
