,mse,mae
0,0.005870786029845476,0.07662105560302734
1,0.010696329176425934,0.10342305898666382
2,0.26103392243385315,0.5109148025512695
3,0.05887002870440483,0.2426314651966095
4,0.01665632240474224,0.12905937433242798
5,0.07915454357862473,0.2813441753387451
6,0.01455327495932579,0.1206369549036026
7,0.038350556045770645,0.1958329826593399
8,0.03764057531952858,0.19401179254055023
9,0.008365916088223457,0.09146538376808167
10,0.015401660464704037,0.12410342693328857
11,0.06845259666442871,0.2616344690322876
12,0.04220013692975044,0.20542672276496887
13,0.0592646449804306,0.2434433102607727
14,0.0015611069975420833,0.03951084613800049
15,0.011183414608240128,0.10575166344642639
16,0.04091640189290047,0.2022780328989029
17,0.00023249242804013193,0.015247702598571777
18,0.01261866930872202,0.11233285069465637
19,0.0019594167824834585,0.044265300035476685
20,0.01817510277032852,0.1348150670528412
21,6.122575723566115e-05,0.007824689149856567
22,0.42545920610427856,0.6522723436355591
23,0.07957383245229721,0.28208833932876587
24,0.04489477723836899,0.21188387274742126
25,0.00257370644249022,0.05073171108961105
26,0.008065667003393173,0.08980906009674072
27,0.010647756047546864,0.10318796336650848
28,0.010398958809673786,0.10197528451681137
29,0.0004551818419713527,0.021334990859031677
30,0.0002792061131913215,0.01670946180820465
31,0.012275751680135727,0.1107959896326065
32,0.010935689322650433,0.10457384586334229
33,0.002513875486329198,0.05013856291770935
34,0.002510598860681057,0.050105877220630646
35,0.0006387216271832585,0.025272943079471588
36,0.03774518519639969,0.194281205534935
37,0.00648917630314827,0.08055542409420013
38,0.06471685320138931,0.254395067691803
39,0.0005657104193232954,0.023784667253494263
40,0.07673554122447968,0.27701181173324585
41,0.07750536501407623,0.2783978581428528
42,0.0011988283367827535,0.03462409973144531
43,0.013937810435891151,0.11805850267410278
44,0.0007994173793122172,0.028273969888687134
45,0.013805740512907505,0.11749783158302307
46,0.012141567654907703,0.11018878221511841
47,0.04452904686331749,0.21101906895637512
48,0.0157945416867733,0.12567633390426636
49,0.00174501514993608,0.04177337884902954
50,0.03984472155570984,0.19961142539978027
51,0.0028904860373586416,0.053763240575790405
52,0.021013544872403145,0.14496049284934998
53,0.019995564594864845,0.14140567183494568
54,0.0039227986708283424,0.0626322478055954
55,0.0025331461802124977,0.05033037066459656
56,0.030652077868580818,0.17507734894752502
57,0.006143294274806976,0.07837916910648346
58,0.00742320716381073,0.08615803718566895
59,0.003945160191506147,0.0628105103969574
60,0.003800679463893175,0.06164965033531189
61,0.0074566686525940895,0.08635200560092926
62,0.006611462216824293,0.08131089806556702
63,0.012105265632271767,0.11002393066883087
64,0.00463144714012742,0.06805473566055298
65,0.015028267167508602,0.1225898340344429
66,0.04205360263586044,0.20506975054740906
67,0.00037157884798943996,0.01927638053894043
68,0.032711632549762726,0.18086357414722443
69,0.0015603858046233654,0.03950171917676926
70,0.06203948333859444,0.24907726049423218
71,0.016448721289634705,0.1282525658607483
72,2.6864687242778018e-05,0.005183115601539612
73,0.0012093299301341176,0.034775421023368835
74,0.016100145876407623,0.12688635289669037
75,0.020767303183674812,0.14410865306854248
76,0.011481158435344696,0.10715016722679138
77,0.05105040222406387,0.22594335675239563
78,0.01394670456647873,0.11809616535902023
79,0.017817586660385132,0.13348253071308136
80,1.773082112777047e-05,0.004210798069834709
81,0.013496783562004566,0.11617565900087357
82,0.018655257299542427,0.13658425211906433
83,0.011472435668110847,0.10710945725440979
84,0.0007124089170247316,0.02669098973274231
85,0.0005028710584156215,0.022424787282943726
86,0.006680675782263279,0.08173540234565735
87,0.005002507474273443,0.07072840631008148
88,0.028302034363150597,0.16823208332061768
89,0.0009464722243137658,0.030764788389205933
90,0.01117898803204298,0.10573073476552963
91,0.021337002515792847,0.1460719108581543
92,0.0003780708648264408,0.019444044679403305
93,0.14367873966693878,0.37904977798461914
94,0.10755857080221176,0.3279612362384796
95,0.15113674104213715,0.38876309990882874
96,0.09757619351148605,0.3123718798160553
97,2.6453992177266628e-05,0.005143344402313232
98,0.0051561505533754826,0.07180634140968323
99,0.021494638174772263,0.14661049842834473
100,0.029267216101288795,0.17107664048671722
101,0.012908830307424068,0.11361703276634216
