,mse,mae
0,0.002686836291104555,0.051834702491760254
1,0.046451348811388016,0.21552574634552002
2,0.4572177827358246,0.6761788129806519
3,0.14572347700595856,0.38173744082450867
4,0.003090917831286788,0.05559602379798889
5,0.034450463950634,0.18560835719108582
6,0.0006711608148179948,0.025906771421432495
7,3.7241625250317156e-05,0.0061025917530059814
8,0.007402002811431885,0.08603489398956299
9,0.0015122538898140192,0.03888770937919617
10,0.0775204673409462,0.2784249782562256
11,0.03247661888599396,0.18021270632743835
12,0.04105624184012413,0.2026233971118927
13,0.06892696022987366,0.26253944635391235
14,0.06570611149072647,0.25633203983306885
15,0.014539353549480438,0.12057924270629883
16,0.00251031294465065,0.050103023648262024
17,0.04149474948644638,0.20370259881019592
18,0.030193820595741272,0.1737636923789978
19,0.038081131875514984,0.19514387845993042
20,0.05449216067790985,0.23343555629253387
21,0.0009742969996295869,0.031213730573654175
22,0.13104312121868134,0.3619987964630127
23,0.019440462812781334,0.13942906260490417
24,0.042527586221694946,0.20622217655181885
25,0.0006589538534171879,0.025670096278190613
26,0.0003115228028036654,0.01765000820159912
27,0.010039737448096275,0.10019849240779877
28,0.02437773533165455,0.1561337113380432
29,0.010243701748549938,0.10121117532253265
