,mse,mae
0,0.07507263123989105,0.2739938497543335
1,0.1648070067167282,0.40596428513526917
2,0.46399539709091187,0.6811720728874207
3,0.039417777210474014,0.1985391080379486
4,0.00041299438453279436,0.02032226324081421
5,0.014068118296563625,0.11860910058021545
6,0.004575321450829506,0.06764112412929535
7,0.0012681086082011461,0.035610511898994446
8,0.034430842846632004,0.18555550277233124
9,0.004061224404722452,0.0637277364730835
10,0.09500175714492798,0.30822354555130005
11,0.14384537935256958,0.379269540309906
12,0.03431255370378494,0.18523648381233215
13,0.018213782459497452,0.1349584460258484
14,0.0710737407207489,0.26659658551216125
15,0.2513732612133026,0.5013713836669922
16,0.007611383683979511,0.08724324405193329
17,0.02066066488623619,0.14373818039894104
18,0.0016618024092167616,0.04076521098613739
19,0.011832205578684807,0.10877594351768494
20,0.005460969638079405,0.07389837503433228
21,0.03002089262008667,0.17326538264751434
22,0.6508567929267883,0.8067569732666016
23,0.018217667937278748,0.13497284054756165
24,0.01131497509777546,0.10637187212705612
25,0.0001389533281326294,0.011787846684455872
26,0.008127333596348763,0.09015172719955444
27,0.003166746813803911,0.05627385526895523
28,0.006972930394113064,0.0835040733218193
29,0.17999199032783508,0.4242546260356903
